_181500792,360
_181500475,360
_181500801,360
_181500829,360
_181500781,360
_181500703,360
_181500292,360
_181500581,360
_181500562,360
_181500678,360
_181500272,360
_181500413,360
_181500498,360
_181500554,360
_181500555,360
_181500422,360
_181500529,360
_181500336,360
jai_xvi,360
_181500507,352.73
_181500486,352.5
_181500625,340
_181500627,340
_181500423,340
_181500370,340
_181500066,340
_181500598,340
_181500524,340
_181500762,330
_181500767,330
_181500017,330
_181500410,330
_181500394,330
_181500783,328.75
_181500714,320
_181500096,320
_181500611,310
_181500289,300
_181500124,300
_181500408,300
_181500192,297.14
_181500411,290
_181500270,290
_181500606,290
_181500125,290
_181500040,290
_181500495,290
_181500303,290
_181500376,290
_181500608,290
_181500563,287.27
_181500417,287.14
_181500032,270
_181500053,260
_181500059,246.25
_181500135,240
_181500528,237.27
_181500201,220
_181500144,220
_181500343,139.87
_181500424,120
_181500666,60
[deleted],60
[deleted],60
_181500841,20
its_rishabh624,0
_181500295,300
_181500668,300
_181500313,300
_181500298,300
_181500721,300
_181500036,300
_181500363,300
_181500774,300
_181500609,300
_181500492,300
_181500320,300
_181500392,300
_181500160,300
_181500653,300
_181500206,300
_181500732,300
_181500242,287.14
_181500587,282.86
_181500378,280
_181500382,280
_181500047,280
_181500835,280
_181500654,270
_181500508,270
_181500582,270
_191599010,270
_181500632,270
_181500708,270
_181500509,270
_181500458,270
_181500170,260
_181500615,260
_181500202,250
_181500414,250
_181500356,250
_181500824,240
_181500126,240
_181500372,240
_181500624,240
_181500749,240
abhishekjais22,240
_181500768,240
_181500669,238
_181500169,220
_181500198,220
_181500594,220
_181500342,212.73
_181500745,210
_181500019,210
_181500809,210
_181500261,200
BhanuMaxias,200
_181500148,180
_181500395,180
_181500219,180
_181500056,140
_181500217,140
_181500798,120
_181500386,90
_181500566,80
[deleted],60
_181500340,60
pandey143sonu,0
_181500497,420
_181500569,412
_181500590,412
_181500315,408.57
_181500803,400
_181500830,400
_181500337,400
_181500117,400
_181500377,400
_181500294,400
_181500397,400
_181500330,400
_181500091,400
_181500403,400
_181500077,400
_181500401,400
_181500793,397
_181500346,396.25
_181500704,396.25
_181500150,387.14
_181500799,380
_181500302,380
_181500583,380
_181500421,380
_181500441,380
_181500311,370
_181500307,370
_181500696,370
_181500104,370
_181500728,370
_181500819,370
_181500210,370
_181500641,360
_181500738,360
_181500190,357.14
_181500760,352
_181500523,350
_181500482,350
_181500373,347.14
_181500222,340
_181500109,338
_181500643,337
_181500339,336.25
Mohit181500390,330
_181500136,330
_181500438,330
_181500225,330
_181500072,328.57
_181500737,327.14
_181500312,327.14
_181500151,320
_181500588,320
_181500182,320
_181500238,310
_191599009,310
_181500675,300
_181500081,300
_181500787,280
_181500326,280
_181500364,265.45
_181500341,260
_181500054,260
_181500559,247.14
_181500825,242.86
_181500621,240
_181500459,155.45
shubham_saraswat,150
_181500212,120
sajalsijariya,120
ashishag639,90
_181500390,60
_181500283,30
_181500291,30
_181500795,20
coderkabh,0
_181500820,416.25
_181500589,416
_181500405,400
_181500823,400
_181500519,400
_181500448,380
_181500172,370
_181500626,370
_181500637,370
_181500381,370
_181500512,360
_181500764,360
_181500354,357.14
_181500527,340
_181500145,340
_181500385,340
_181500177,340
_181500650,330
_181500765,330
_181500218,330
_181500128,330
_181500074,330
_181500484,330
_181500831,330
_181500400,327
_181500075,316.25
_181500281,304
_181500778,300
_181500832,291.42
_181500549,290
_181500304,290
_181500060,280
_181500327,280
_181500195,270
_181500742,260
_181500506,245
_181500309,210
_181500603,90
_181500184,60
_181500265,40
_181500785,360
_181500366,356.25
_181500746,356.25
_181500552,352.25
_181500713,336.25
_181500727,336.25
_181500539,336.25
_181500471,336.25
_181500755,336.25
_181500142,332.5
_181500050,316.25
_181500118,316.25
_181500602,316.25
_181500630,308.75
_181500426,300
_181500759,300
_181500133,296.25
_181500724,296.25
_181500754,296.25
_181500725,296.25
_181500051,289.14
_181500412,286.25
_181500640,281.25
_181500692,281.25
_181500596,280
_181500301,280
__181500062,276.25
_181500501,270
_181500635,266.25
_181500002,260
_181500073,260
_181500114,260
_181500350,251.25
_181500323,250
satyam_singh_cs3,240
_171500168,240
_181500155,236.25
_181500284,236.25
_181500163,230
_181500404,226.25
_181500197,220
_181500719,206.25
_181500634,192.5
_181500228,180
_181500720,176.25
_181500797,170
_181500187,170
_181500305,170
_181500466,150
_181500365,150
_181500273,150
_191599013,138
_181500021,138
_181500027,136
_181500058,90
rajatbharti015,86.25
_181500681,71.25
chaturvedianuj11,60
_181500220,60
JuhiAgarwal7,60
_191599012,50
_191599005,30
akshatdwivedi23,20
_181500062,20
_181500162,20
_181500180,420
_181500686,420
shipra_171500317,400
_181500200danish,400
_181500457,400
_181500468,400
_181500147,380
_181500434,380
_181500157,380
_181500444,380
_181500496,375.71
_181500450,370
_181500267,360
_181500271,346.25
_181500291,341
_181500806,340
_181500449,340
_181500209,302.73
_181500821,302.73
_181500407,300
_181500463,281.43
_181500431,280
_181500134,280
_181500702,280
_181500731,276.25
_181500250,257.14
_181500567,250
_181500362,250
shashank_yadav11,250
_181500299,246.25
siddhant123anand,240
_181500543,225.59
rahul_sharma_cs2,220
_181500671,216.25
_181500613,200
_181500651,200
_181500817,197.14
_161500139,196
_191599006,190
_181500758,176.25
_181500493,165.9
_181500684,161.3
_191599018,160
_181500442,160
_181500110,160
_181500269,156.25
_181500333,155.45
Leviathan225,146.25
_181500530,140
_181500173,140
_181500840,130
_181500322,120
_161500139a,116.25
str1ver,90
[deleted],90
_181500211,80
snehil_gla_cs18,70
ayush_pathak_cs1,60
krishna_kant_cs1,60
_181500705,50
anuragtripathi,30
_181500757,20
_181500089,20
ayush_gupta_cs18,20
Ravi_161500441,0
_181500661,360
_181500664,360
_171500128,360
_181500090_,360
_181500119,360
_181500579,360
_181500306,356.25
_181500108,340
_181500233,340
_171500063,340
_181500813,340
_181500146,336.25
_181500257,330
_181500205,325
_181500747,320
_181500016,320
_181500189,310
181500013_abhis,310
_181500179,310
_181500025,306.25
_171500226,300
_171500271,300
_181500166,296.25
_181500504,270
_181500039,266.25
_181500693,260
_181500685,254.28
_181500165,250
_181500743,246.25
madhav_lomash_c1,240
_181500584,240
avi_vivek_cs18,236.25
_181500193,230
181500297_JAYESH,220
_181500573,220
_181500310,212.5
_181500279,210
_171500148,210
_181500262,186.25
181500278_Isha,180
_181500633,180
abhishek_pande21,180
_181500699,180
_181500491,170
